disease_id,disease_name,crop,symptoms,solution_text,chemical_recommendations,organic_recommendations,notes
apple_apple_scab,Apple Scab,Apple,"Olive-green spots, velvety patches on leaves","Remove infected leaves. Maintain good air circulation. Prune dense canopy.","Spray Mancozeb or Captan as per label.","Use neem oil 0.5–1%. Improve airflow.","Avoid overhead irrigation."
apple_black_rot,Black Rot,Apple,"Circular black lesions, leaf yellowing","Remove infected fruits and twigs. Apply fungicide early season.","Use Thiophanate-methyl or Captan.","Neem oil and copper soap sprays can help.","Sanitize pruning tools."
apple_cedar_apple_rust,Cedar Apple Rust,Apple,"Bright orange spots, raised lesions","Remove nearby cedar hosts. Apply fungicides during early growth.","Myclobutanil or Propiconazole recommended.","Neem spray every 7 days.","Occurs where cedar and apple coexist."
bean_angular_leaf_spot,Angular Leaf Spot,Bean,"Angular brown lesions with yellow halo","Remove infected leaves. Avoid overhead watering.","Copper-based fungicides.","Garlic extract + neem oil.","Favored by wet conditions."
bean_rust,Bean Rust,Bean,"Reddish-brown pustules on underside","Remove infected leaves. Improve spacing.","Chlorothalonil or Mancozeb.","Neem + baking soda spray weekly.","Occurs in warm humid weather."
bell_pepper_bacterial_spot,Bacterial Spot,Bell Pepper,"Water-soaked spots turning brown","Use disease-free seeds. Remove infected leaves.","Copper oxychloride spray.","Neem seed kernel extract 5%.","Avoid working when plants are wet."
cherry_powdery_mildew,Powdery Mildew,Cherry,"White powdery coating on leaves","Prune dense canopy. Increase airflow.","Sulfur or Potassium bicarbonate spray.","Milk spray (10%) or neem.","Spreads quickly in dry warm weather."
corn_cercospora_leaf_spot,Cercospora Leaf Spot,Corn,"Dark spots with tan centers","Remove lower leaves. Improve spacing.","Azoxystrobin or Mancozeb.","Neem + compost tea.","Rotate crops annually."
corn_common_rust,Common Rust,Corn,"Reddish-brown rust pustules","Use resistant hybrids. Remove affected leaves.","Triazole fungicides.","Neem weekly.","Favored by cool humid weather."
corn_gray_leaf_spot,Gray Leaf Spot,Corn,"Long rectangular gray lesions","Increase plant spacing. Dry leaves quickly.","Strobilurin fungicides.","Neem + garlic extract.","Serious in dense plantings."
corn_northern_leaf_blight,Northern Leaf Blight,Corn,"Cigar-shaped lesions","Remove debris. Improve airflow.","Triazole fungicides.","Neem oil 1%.","Common in wet seasons."
cotton_bacterial_blight,Bacterial Blight,Cotton,"Water-soaked angular lesions","Remove infected leaves. Promote airflow.","Copper fungicides.","Neem spray.","Avoid overhead irrigation."
cotton_powdery_mildew,Powdery Mildew,Cotton,"White powder on leaf surface","Prune dense canopy.","Sulfur spray.","Neem + baking soda.","Occurs in dry weather."
cotton_target_spot,Target Spot,Cotton,"Target-like circular spots","Remove infected leaves.","Strobilurin fungicides.","Garlic extract spray.","Common late-season disease."
diseased_cucumber,Cucumber Disease,Cucumber,"Yellowing leaves, mottled patterns","Remove infected leaves.","Copper fungicides.","Neem oil.","General cucumber disease pattern."
